Poem Name,Poet,Line,Metaphor present or not,count of the metaphor,metaphorical terms, Meaning
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මානෙල් නෙලුම් නැති;,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,වැසි නැති;,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දියර නැති;,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඉරි තැලුනු දුඹුරයි.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,බිය හැක මිරිකා,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"හිත් පපුවක් නැති මඩ,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,සිසිල් දියර එයි.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හදවත් මැසිමෙන්,ඔව්,1,හදවත් මැසිමෙන්,මැෂිමක් වන සිත
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,බලාපොරොත්තුවේ අවන් හලේ,ඔව්,1,බලාපොරොත්තුවේ අවන් හලේ,බලාපොරොත්තුව නමැති අවන්හල 
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මුදලට අරගෙන,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දෙතොල තෙමන්නට,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,යන්නට යමු අපි,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,එතනට වත්.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පීඩත ආලයේ මේවා දංකුඩ,ඔව්,1,පීඩත ආලයේ මේවා දංකුඩ,පීඩාකාරී වූ  ආදරයේ අවශේෂ 
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පුපුරයි පුපුරයි ආලයේ පදනම.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"මා හැරදා,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"දරදඬු කොටඳා මා අත් පා,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඈ යන්න ගියා මැකිලා -,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඈ යන්න ගියා.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,සැමරුටි වග වලසුන් රෑනට,ඔව්,1,සැමරුටි වග වලසුන් රෑනට,මතකය නම් වග වල්සුන් රෑන
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මා ගොදුරක් වී-,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ලේ ගලනා ගොදුරක් වී.,ඔව්,1,ලේ ගලනා ගොදුරක් වී.,මතකය ලේ ගලනා ගොදුරක්  වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,කාලයෙ ගන අඳුරින් වැසුනත්,ඔව්,1,කාලයෙ ගන අඳුරින් වැසුනත්,කාලය නම් ගණ අඳුර
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,සෙලවෙන හදවත පහනෙහි සිලුවෙන්,ඔව්,1,සෙලවෙන හදවත පහනෙහි සිලුවෙන්,හදවත නම් සෙලවෙන පහන් සිළුව
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඈ ගත දිලිසෙයි.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දෑසට දිස් වෙයි.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,කොතෙකුත් දැගලුවත් සැඟ වෙන්නට,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඇසිපිය දැල්වල මයි ඇය දැවටුම,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,අමතක භාවයේ අන්ධකාරයේ,ඔව්,1,අමතක භාවයේ අන්ධකාරයේ,අමතක භාවය නැමැති අන්ධකාරය
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දෙබෑ කරන් වේලුන ගන හම,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,එබී බලයි සොඳුරිය ඔබ ඇස් දෙක.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,තොල් දෙක සෙලවුම තවම පෙනෙනවා,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හීන් සැරේ මා වැලඳ ගන්නවා.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ජීවිතයෙහි සැඩ පහරින් බේරී,ඔව්,1,ජීවිතයෙහි සැඩ පහරින් බේරී,ජීවිතය නැමැති සැඩපහර 
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"අව්වෙන් වැස්සෙන් වැලකී ඉන්නට,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,එක එක ගඩොලින්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දවසින් දවසට,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,බැන්ද බිත්ති වල,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පෙනේ හොඳට මට,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පුංචි සිදුරු කඩ තොලු ඇද කුද,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හඟවා ගන්නට වීරිය ගන්නේ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,කුමක් ද යනු මට හොඳට පෙනේ.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හදවත් කෝවේ නිතරම පැසෙනා,ඔව්,1,හදවත් කෝවේ,කෝව නැමැති හදවත
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,බියගුලු පාපය හඟවා ගන්නද,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හඟවා ගන්නද ඉරිසියාව තද,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හඟවා ගන්නද කෝපය මානය.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"අම්මේ අම්මේ ගැහෙනව මා ඇඟ,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,බය වෙමි බයවෙමි; දෙවියන්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඉදිරියෙ මහ අඳුරින්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මා දරු ඇස් කන වේ.,ඔව්,1,මා දරු ඇස් කන වේ.,දරුවන් මාගේ ඇස කන වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දෙවියෙනි මාගේ මිනිස් ගතියෙ මට,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,අගය දෙන්න; මහ ගලකි මිනිස් හිත.,ඔව්,1,මහ ගලකි මිනිස් හිත,මිනිස් සිත් මහ ගලක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"අගය, ඇයි, මිහිපිට නැත",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,එවැනි දෙයක් අද,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඉදි කටුවක් ඇත. පිදුරු ගොඩේ අගය එයයි මුලු ජීවිතයේ,ඔව්,1,ඉදි කටුවක් ඇත. පිදුරු ගොඩේ අගය එයයි මුලු ජීවිතයේ,ජීවිතයේ අගය පිදුරු ගොඩේ ඇති ඉඳිකටුවක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,තනිකමේ ගීතයයි,ඔව්,1,තනිකමේ ගීතයයි,තනිකම ගීතයක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,අඳුරු ගැබ සීත බව,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,සිතුම් පැතුම් කඳු මුදුන්,ඔව්,1,සිතුම් පැතුම් කඳු මුදුන්,සිතුම් පැතුම් නම් කඳුමුදුන්
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,වසා දමා අඳුරු පරාදෙන්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දිවි මලහිරු යයි යන්නට,ඔව්,1,දිවි මලහිරු යයි යන්නට,ජීවිතය නම් මැරුණු ඉර
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ගිහිල්ල එන්නය කියා.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,නිහඬ ගිනි සිලක් නලියයි,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,සරු හේනෙන් අනාගතේ;,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,නිසල රැය දෙබෑ කර,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ම හද පොඩි පැල් පතින්,ඔව්,1,ම හද පොඩි පැල් පතින්,මගේ හදවත කුඩා පැල්පතක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඇසෙන සිව් පද හඬත්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ගොලුව ගොස් මොහොතකින්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,අඳුරු මඬ ගොහොරු මැද,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"ලැග වැටේ, යයි එරී",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පරාදයෙ මහ බරින්.,ඔව්,1,පරාදයෙ මහ බරින්.,පරාදය මහා බරක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මිදුනු සේ රාහුගෙන්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දස මසක අරගලෙන්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,එලිය දුටු දා පටන්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,නොවේද මහ සටනකින්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දිවි කතර ගෙවුයේ.,ඔව්,1,දිවි කතර ගෙවුයේ.,ජීවිතය නම් කාන්තාරය
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මගිය.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඇයි නිසල බව.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මහ අතීතය හිම ගල් වී;,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඉතිහාසයේ බැමි ලිහි ලිහි,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඔබ වෙල වෙලා බඳී;,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,වලගය කටින් ඩැහැගත්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,කාලයේ නාගයා,ඔව්,1,කාලයේ නාගයා,කාලය නාගයෙක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඔබ වටා දරන වැල ලා.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පුරු රවසුන් පසුපස දිව විඩාපත්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,උරුවිසීය.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පොඩි අහසෙ මුලු හතරෙ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"කිරිසුවඳ පතුරමින්,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,සමග කුරු කුහුඹුවන්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පොර කෑව ගස් අස්සෙ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"වැලි පිට්ටු තම්බමින්,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,දහකාර හිත් දලුව,ඔව්,1,දහකාර හිත් දලුව,දඟකාර හිත් ගහක් දළුවක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"මෝරලා, වේලිලා;",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පිටිතේ ගින්දරින්,ඔව්,1,පිටිතේ ගින්දරින්,ජීවිතය ගින්දරක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,කරවෙලා පිච්චිලා,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හෙට ඇරෙයි පුලුල් දොර,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මාලිගා ජීවිතේ,ඔව්,1,මාලිගා ජීවිතේ,පොහොසත් ජීවිතය
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"ඔබ කොතෙක් දෙසුවත්,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,සදහටම වැසෙයි දොර,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ජීවිතේ පැල්පතේ.,ඔව්,1,ජීවිතේ පැල්පතේ.,දුප්පත් ජීවිතය
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,හදවතේ ලිප තුලෙහි,ඔව්,1,හදවතේ ලිප තුලෙහි,හදවත නම් ලිප තුළ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,කලු කලුවේ ගොඩ ගැහුනු,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"අලු අස්සෙ, පෙර දවසෙ",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මලානික ගින්දරක්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,යන්තමින් පන පෙවි,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ජීවිතය රත්කරයි.,ඔව්,1,ජීවිතය රත්කරයි.,ජීවිතයට උණුසුමක් ගෙන දෙයි
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"සීතලයි, සීතලයි,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,නහර වැල් දරදඬුයි.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ගෙල සිඳුනු නයි පොලො,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පැටවුන් ලෙසින්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ලේ නහරෙ කැටි ගැසේ.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"පෙම්බර බුද්ධිය,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"පඬිකම් ගිනිහුල,",ඔව්,1,"පඬිකම් ගිනිහුල,",දැනුම ගිනි සිළුවක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ජිවිත සම්පත පෙන්නාපන්,ඔව්,1,ජිවිත සම්පත,ජීවිතය වටිනා සම්පතකි
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මගෙ කලු අවතාරය.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පෙන්නාපන් මට,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"සන්තුෂ්ටිය, මගෙ පරම ධනය",ඔව්,1,"සන්තුෂ්ටිය, මගෙ පරම ධනය",සතුට මගේ පරම ධනය යි
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,උනු වැලි ආසාවෙන් සුදු වුනු,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මරු කතරෙකි මිනිස් දිවිය.,ඔව්,1,මරු කතරෙකි මිනිස් දිවිය.,ජීවිතය මාරක කාන්තාරයක් වගේ
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,පය තිබු තිබු තැන හනිකට,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"කර කරවයි. පුච්චයි, හම.",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මේ දම දම පැසෙන නිතර,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මහ කලු ගල් පොකුරු තමයි.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඔබට ලැබෙන එකම අහර.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,මිනිසාය ඔබේ බලගතු නම්:,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"මිනිහෝ. මිනිහෝ,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,අසරන මිනිහෝ,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"ඉතිහාසයෙ මිනිය කපා,",ඔව්,1,ඉතිහාසයෙ මිනිය,ඉතිහාසය නමැති මැරුණු මිනිසා
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,එදා පටන් ටි විස පෙන්නා.,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,නිගමනයක් කල හපන්කමින්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"තැලැවෙන්නට,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"සැනසෙන්නට,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,සිතනු එපා,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"අදහස් උදහස් සිතුම් පැතුම්,",නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,"ජීවිතයේ නටබුන්,",ඔව්,1,"ජීවිතයේ නටබුන්,",ජීවිතයේ පෙර මතක
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,අස්සෙන් මුල්ලෙන් කටු කොහොල් කඩා,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,ඉල්ලම සොයමින්,නැත,0,,
මස් ලේ ඇට නැති ගුණසිංහ,සිරි ගුණසිංහ,යන්නට එන්නකො රෑ,නැත,0,,
